"","LAA (cm^2s^-1)","LNN (cm^2s^-1)","sigma_had (b)","AA had. event rate (kHz)"
"O",6.109383e29,1.564002048e32,1.4108008126324547,861.9122501082907
"Ar",5.935252e28,9.4964032e31,2.598717316022708,154.24042147358412
"Ca",6.472053e28,1.03552848e32,2.598717316022708,168.19036201316717
"Kr",5.935191e28,3.6109702044e32,4.056163454951212,240.74104832355343
"In",2.104968e28,2.78382018e32,5.2543331572809695,110.60203157415408
"Xe",2.145798e28,3.5708224518e32,5.672556795985932,121.72161027713024
"Pb",1.515309e28,6.555832857600001e32,7.8,118.19410200000003
