"","LAA (cm^2s^-1)","LNN (cm^2s^-1)","sigma_had (b)","AA had. event rate (kHz)"
"O",4.439478e29,1.136506368e32,1.4108008126324547,626.3219170063905
"Ar",4.306224e28,6.889958400000001e31,2.598717316022708,111.90658875472573
"Ca",4.605585e28,7.368936e31,2.598717316022708,119.68613489914446
"Kr",4.306076e28,2.6198166384000003e32,4.328971037371861,186.40878288722075
"In",1.53824e28,2.0343224e32,5.2543331572809695,80.82425435855879
"Xe",1.568236e28,2.6097015275999998e32,5.672556795985932,88.95907779509794
"Pb",1.100455e28,4.761008512e32,7.8,85.83549000000002
