"","WG5","2025 conservative","2025 optimistic","2025 25 ns"
"O",2995.2,85.26075247470777,480.92403780671424,147.26777624697024
"Ar",1728.,55.779307990652825,359.4346522059458,97.70223204875491
"Ca",1278.4,64.3449301342465,288.80386134200666,114.56979026174508
"Kr",748.332,203.16627827970905,546.4013538032978,350.4271333971621
"In",0.,126.9454821518857,517.704250234957,213.2768496367112
"Xe",480.9248999999999,144.35192067441287,485.67268198563715,241.2422559030119
"Pb",212.85888,131.2061666486064,174.04201661857076,209.15426769257968
