"","WG5","2025 conservative","2025 optimistic","2025 25 ns"
"O",11700,333.0498143543272,1878.6095226824775,575.2647509647275
"Ar",1080,34.86206749415801,224.6466576287161,61.06389503047181
"Ca",799,40.215581333904055,180.50241333875417,71.60611891359068
"Kr",123,27.46975098427651,73.87795481385854,47.38062917755031
"In",0,9.59890224210856,39.14587903477936,16.12679392338081
"Xe",28.9,8.674473930317461,29.185306290826105,14.496860519380562
"Pb",4.92,3.032686914030288,4.022790694770959,4.834371941858812
