"","LAA (cm^2s^-1)","LNN (cm^2s^-1)","sigma_had (b)","AA had. event rate (kHz)"
"O",2.270439e30,5.81232384e32,1.4108008126324547,3203.137186232418
"Ar",2.587485e29,4.139976e32,2.598717316022708,672.4142074449018
"Ca",1.753356e29,2.8053696e32,2.598717316022708,455.64765983523114
"Kr",1.088653e29,6.623364852e32,4.056163454951212,441.5754513723003
"In",7.123952e28,9.421426520000001e32,5.2543331572809695,374.31617204478084
"Xe",5.881272e28,9.7870247352e32,5.672556795985932,333.6184945264178
"Pb",1.428445e28,6.1800244479999994e32,7.8,111.41871
