"","WG5","2024 conservative","2024 optimistic","2024 25 ns"
"O",2995.2,60.86509091294046,195.74863088190813,90.30598358981918
"Ar",1728.,39.89712860678252,198.37904877247206,59.42237616786871
"Ca",1278.4,32.533842166574885,199.1754688801261,48.22654316484014
"Kr",748.332,71.0479590840476,407.1281291054107,104.44750385318294
"In",0.,105.40345307832892,396.08477285512276,149.7057545029005
"Xe",480.9248999999999,119.82124910658834,354.8446900646924,169.70997323763055
"Pb",212.85888,111.41164883752855,138.78744792557447,146.81234765063698
