"","WG5","2024 conservative","2024 optimistic","2024 25 ns"
"O",11700,237.75426137867368,764.6430893824536,352.7577483977312
"Ar",1080,24.935705379239074,123.98690548279504,37.13898510491794
"Ca",799,20.333651354109303,124.4846680500788,30.141589478025082
"Kr",123,9.606268129265496,55.04706991690248,14.122161148348154
"In",0,7.970015355639238,29.949699270708717,11.319905822525557
"Xe",28.9,7.200363506194841,21.323519624102662,10.19830378208224
"Pb",4.92,2.575158303382224,3.2079199317116878,3.3934067042029623
