Ion,A,Q_low,m_ion_in_u,Z,LEIR_gamma_inj,LEIR_gamma_extr,PS_gamma_inj,PS_gamma_extr,SPS_gamma_inj,SPS_gamma_extr,LEIR_Ekin_per_u_inj,LEIR_Ekin_per_u_extr,PS_Ekin_per_u_inj,PS_Ekin_per_u_extr,SPS_Ekin_per_u_inj,SPS_Ekin_per_u_extr,p_LEIR_extr_proton_equiv,p_PS_inj_proton_equiv,p_PS_extr_proton_equiv,p_SPS_inj_proton_equiv,p_SPS_extr_proton_equiv,LEIR_Brho,PS_Brho_inj,PS_Brho_extr,SPS_Brho_inj,SPS_Brho_extr,PS_B_field_is_too_low
54Pb208,208.0,54.0,207.9766525,82.0,1.004509724466435,1.1460852370996533,1.1460852370996533,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.13605221347449203,0.13606226243255706,9.3546066582113,9.3546066582113,176.4749015409069,2.0086094686000004,1.3228405199465736,25.984123725460293,25.984123725460293,450.0,6.7,4.412521011274318,86.67370719999998,86.67370719999998,1501.0384283916842,False
52Pb208,208.0,52.0,207.9766525,82.0,1.0045097482589134,1.136099216843802,1.136099216843802,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.12675135682223,0.1267613875756296,9.3546066582113,9.3546066582113,176.4749015409069,2.0086094686000004,1.2738531471951502,25.984123725460293,25.984123725460293,450.0,6.7,4.249116724594686,86.67370719999998,86.67370719999998,1501.0384283916842,False
29Pb208,208.0,29.0,207.9766525,82.0,1.0045100218904617,1.044237213806069,1.044237213806069,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.04119631844325008,0.04120207841440245,9.3546066582113,9.3546066582113,176.4749015409069,2.0086094686000004,0.7104612063439404,25.984123725460293,25.984123725460293,450.0,6.7,2.369843494675041,86.67370719999998,86.67370719999998,1501.0384283916842,True
39Xe129,129.0,39.0,128.9047808611,54.0,1.0045125039023892,1.1940160278978385,1.1940160278978385,11.728354816732256,11.728354816732256,202.3775998841415,0.004200000000000001,0.1805798587208899,0.1805913868588594,9.986022784095915,9.986022784095915,187.4435861790509,2.0086094686000004,1.450755003631757,25.984123725460293,25.984123725460293,450.0,6.7,4.839197801406187,86.67370719999998,86.67370719999998,1501.0384283916842,False
37In115,115.0,37.0,114.903878776,49.0,1.0045129156237638,1.217450628092958,1.217450628092958,11.937640354122896,11.937640354122896,206.0150325867805,0.004200000000000001,0.20237308075987137,0.20238467558171122,10.179831689206704,10.179831689206704,190.81067377608193,2.0086094686,1.5167920074841836,25.98412372546029,25.98412372546029,450.0,6.7,5.059473535802503,86.67370719999998,86.67370719999997,1501.0384283916842,False
29Kr84,84.0,29.0,83.9114977282,36.0,1.0045138473629398,1.2471658502760614,1.2471658502760614,12.009359762496512,12.009359762496512,207.26142851408815,0.004200000000000001,0.22998043302983331,0.22999095815399695,10.244348875908893,10.244348875908893,191.92887496870287,2.0086094686000004,1.6181205667610459,25.98412372546029,25.98412372546029,450.0,6.7,5.397469227731692,86.67370719999998,86.67370719999997,1501.0384283916842,False
19Kr86,86.0,19.0,85.9106106269,36.0,1.0045140667081252,1.1079158902037003,1.1079158902037003,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.1004076297852895,0.10041853052263713,9.986279498522933,9.986279498522933,187.443865431654,2.0086094686000004,1.0602145312777325,25.98412372546029,25.98412372546029,450.0,6.7,3.536495008415897,86.67370719999998,86.67370719999997,1501.0384283916842,False
20Kr86,86.0,20.0,85.9106106269,36.0,1.0045140378807276,1.118950197735577,1.118950197735577,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.11067493089111807,0.11068623943551724,9.986279498522933,9.986279498522933,187.443865431654,2.0086094686,1.1160081690678154,25.98412372546029,25.98412372546029,450.0,6.7,3.7226025514885213,86.67370719999998,86.67370719999997,1501.0384283916842,False
21Kr86,86.0,21.0,85.9106106269,36.0,1.0045140090536981,1.1304340202762708,1.1304340202762708,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.12136060841781332,0.1213722337051514,9.986279498522933,9.986279498522933,187.443865431654,2.0086094686000004,1.1718010942520751,25.98412372546029,25.98412372546029,450.0,6.7,3.9087077175639786,86.67370719999998,86.67370719999997,1501.0384283916842,False
22Kr86,86.0,22.0,85.9106106269,36.0,1.004513980227037,1.142353780163194,1.142353780163194,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.13245203714103698,0.13246387896488226,9.986279498522933,9.986279498522933,187.443865431654,2.0086094686000004,1.2275933068441667,25.98412372546029,25.98412372546029,450.0,6.7,4.094810506687818,86.67370719999998,86.67370719999997,1501.0384283916842,False
