Ion,A,Q_low,m_ion_in_u,Z,LEIR_gamma_inj,LEIR_gamma_extr,PS_gamma_inj,PS_gamma_extr,SPS_gamma_inj,SPS_gamma_extr,LEIR_Ekin_per_u_inj,LEIR_Ekin_per_u_extr,PS_Ekin_per_u_inj,PS_Ekin_per_u_extr,SPS_Ekin_per_u_inj,SPS_Ekin_per_u_extr,p_LEIR_extr_proton_equiv,p_PS_inj_proton_equiv,p_PS_extr_proton_equiv,p_SPS_inj_proton_equiv,p_SPS_extr_proton_equiv,LEIR_Brho,PS_Brho_inj,PS_Brho_extr,SPS_Brho_inj,SPS_Brho_extr,PS_B_field_is_too_low
54Pb208,208.0,54.0,207.9766525,82.0,1.004509724466435,1.077455873894068,1.077455873894068,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.07213626304142204,0.072141591100876,9.3546066582113,9.3546066582113,176.4749015409069,1.4390037984,0.9477066411557532,25.984123725460293,25.984123725460293,450.0,4.8,3.161209082703986,86.67370719999998,86.67370719999998,1501.0384283916842,False
52Pb208,208.0,52.0,207.9766525,82.0,1.0045097482589134,1.072014047503387,1.072014047503387,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.06706782333502095,0.06707313089790462,9.3546066582113,9.3546066582113,176.4749015409069,1.4390037984000001,0.9126112099308539,25.984123725460293,25.984123725460293,450.0,4.8,3.0441433250827608,86.67370719999998,86.67370719999998,1501.0384283916842,False
29Pb208,208.0,29.0,207.9766525,82.0,1.0045100218904617,1.0229439441447021,1.0229439441447021,11.04371018978293,11.04371018978293,190.4748578542863,0.004200000000000001,0.021366762234913024,0.021369749684732587,9.3546066582113,9.3546066582113,176.4749015409069,1.4390037984,0.5089871329031225,25.984123725460293,25.984123725460293,450.0,4.8,1.697798324543316,86.67370719999998,86.67370719999998,1501.0384283916842,True
39Xe129,129.0,39.0,128.9047808611,54.0,1.0045125039023892,1.1038474936429188,1.1038474936429188,11.728354816732256,11.728354816732256,202.3775998841415,0.004200000000000001,0.09665575537105248,0.09666192583154226,9.986022784095915,9.986022784095915,187.4435861790509,1.4390037984,1.039346868273498,25.984123725460293,25.984123725460293,450.0,4.8,3.466887977126823,86.67370719999998,86.67370719999998,1501.0384283916842,False
37In115,115.0,37.0,114.903878776,49.0,1.0045129156237638,1.116908326455488,1.116908326455488,11.937640354122896,11.937640354122896,206.0150325867805,0.004200000000000001,0.10880216074227124,0.10880839448474772,10.179831689206704,10.179831689206704,190.81067377608193,1.4390037984,1.0866569605856842,25.98412372546029,25.98412372546029,450.0,4.8,3.6246974584853766,86.67370719999998,86.67370719999997,1501.0384283916842,False
29Kr84,84.0,29.0,83.9114977282,36.0,1.0045138473629398,1.1336107121311962,1.1336107121311962,12.009359762496512,12.009359762496512,207.26142851408815,0.004200000000000001,0.12432077246527681,0.12432646204307757,10.244348875908893,10.244348875908893,191.92887496870287,1.4390037984,1.159250555291496,25.98412372546029,25.98412372546029,450.0,4.8,3.866843625837632,86.67370719999998,86.67370719999997,1501.0384283916842,False
19Kr86,86.0,19.0,85.9106106269,36.0,1.0045140667081252,1.0567657923304137,1.0567657923304137,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.052816305828753456,0.05282203982206389,9.986279498522933,9.986279498522933,187.443865431654,1.4390037984000001,0.7595566791243447,25.98412372546029,25.98412372546029,450.0,4.8,2.533608364238251,86.67370719999998,86.67370719999997,1501.0384283916842,True
20Kr86,86.0,20.0,85.9106106269,36.0,1.0045140378807276,1.0627161399235832,1.0627161399235832,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.05835302995653818,0.05835899235312404,9.986279498522933,9.986279498522933,187.443865431654,1.4390037984000001,0.7995282405261953,25.98412372546029,25.98412372546029,450.0,4.8,2.6669391413649084,86.67370719999998,86.67370719999997,1501.0384283916842,True
21Kr86,86.0,21.0,85.9106106269,36.0,1.0045140090536981,1.068935800603787,1.068935800603787,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.0641404035950477,0.06414654768604651,9.986279498522933,9.986279498522933,187.443865431654,1.4390037984,0.8394992914044723,25.98412372546029,25.98412372546029,450.0,4.8,2.8002682155682255,86.67370719999998,86.67370719999997,1501.0384283916842,False
22Kr86,86.0,22.0,85.9106106269,36.0,1.004513980227037,1.0754200901696434,1.0754200901696434,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.07017407316390176,0.07018034705013897,9.986279498522933,9.986279498522933,187.443865431654,1.4390037984,0.8794698317689549,25.98412372546029,25.98412372546029,450.0,4.8,2.9335955868808243,86.67370719999998,86.67370719999997,1501.0384283916842,False
29Kr86,86.0,29.0,85.9106106269,36.0,1.004513778450717,1.1278119961847994,1.1278119961847994,11.731866283017602,11.731866283017602,202.43863384576755,0.004200000000000001,0.11892705630930933,0.1189323723857154,9.986279498522933,9.986279498522933,187.443865431654,1.4390037984,1.1592493207556454,25.98412372546029,25.98412372546029,450.0,4.8,3.8668395078692916,86.67370719999998,86.67370719999997,1501.0384283916842,False
17Ca40,40.0,17.0,39.962590863,20.0,1.0045132918812005,1.1966230652199978,1.1966230652199978,13.996376983470087,13.996376983470087,241.77560454816933,0.004200000000000001,0.18297439998592016,0.18298193554941064,12.094726592245696,12.094726592245697,224.0713016248033,1.4390037984,1.2232036026202604,25.98412372546029,25.984123725460293,450.0,4.8,4.08016802951147,86.67370719999998,86.67370719999998,1501.0384283916842,False
12Ca48,48.0,12.0,47.95252276,20.0,1.00451376252688,1.072137993253754,1.072137993253754,11.67736392269483,11.67736392269483,201.4912951298215,0.004200000000000001,0.06712350724290021,0.06712965098270146,9.93606394101477,9.93606394101477,186.57173647444532,1.4390037984,0.8634813052882419,25.98412372546029,25.98412372546029,450.0,4.8,2.8802636031899165,86.67370719999998,86.67370719999997,1501.0384283916842,False
17Ca48,48.0,17.0,47.95252276,20.0,1.0045135043293674,1.1401594132921062,1.1401594132921062,11.67736392269483,11.67736392269483,201.4912951298215,0.004200000000000001,0.13042405476309046,0.13042853109515445,9.93606394101477,9.93606394101477,186.57173647444532,1.4390037984,1.2231952089328726,25.98412372546029,25.98412372546029,450.0,4.8,4.080140031184082,86.67370719999998,86.67370719999997,1501.0384283916842,False
10Ar40,40.0,10.0,39.9623831237,18.0,1.0045136251585463,1.0721337502421568,1.0721337502421568,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.06712160189984245,0.06712897395396901,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984000001,0.7995343589369097,25.98412372546029,25.984123725460293,450.0,4.8,2.666959550186248,86.67370719999998,86.67370719999998,1501.0384283916842,True
11Ar40,40.0,11.0,39.9623831237,18.0,1.004513563192221,1.0866713744104188,1.0866713744104188,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.08065019963631784,0.08065795020804864,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984,0.8794757205832058,25.98412372546029,25.984123725460293,450.0,4.8,2.9336152298507976,86.67370719999998,86.67370719999998,1501.0384283916842,False
12Ar40,40.0,12.0,39.9623831237,18.0,1.004513501227597,1.1023729411874679,1.1023729411874679,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.0952622656571808,0.0952701125269991,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984,0.9594148872734549,25.98412372546029,25.984123725460293,450.0,4.8,3.20026358793007,86.67370719999998,86.67370719999998,1501.0384283916842,False
13Ar40,40.0,13.0,39.9623831237,18.0,1.0045134392646746,1.1191893534113804,1.1191893534113804,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.11091215699872667,0.11091977020303233,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984000001,1.0393518590980582,25.98412372546029,25.984123725460293,450.0,4.8,3.4669046247256095,86.67370719999998,86.67370719999998,1501.0384283916842,False
14Ar40,40.0,14.0,39.9623831237,18.0,1.0045133773034531,1.1370710408095703,1.1370710408095703,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.12755378792721883,0.12756079224301187,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984000001,1.1192866361474085,25.98412372546029,25.984123725460293,450.0,4.8,3.733538340538936,86.67370719999998,86.67370719999998,1501.0384283916842,False
15Ar40,40.0,15.0,39.9623831237,18.0,1.0045133153439332,1.1559684617502386,1.1559684617502386,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.14514109682842216,0.1451470743074362,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984000001,1.1992192185118953,25.98412372546029,25.984123725460293,450.0,4.8,4.000164735671553,86.67370719999998,86.67370719999998,1501.0384283916842,False
16Ar40,40.0,16.0,39.9623831237,18.0,1.004513253386114,1.1758325394688616,1.1758325394688616,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.16362845215855468,0.16363294467070677,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984,1.2791496062819043,25.98412372546029,25.984123725460293,450.0,4.8,4.2667838104249585,86.67370719999998,86.67370719999998,1501.0384283916842,False
17Ar40,40.0,17.0,39.9623831237,18.0,1.0045131914299963,1.1966150319755344,1.1966150319755344,12.60434377240201,12.60434377240201,217.59961181149825,0.004200000000000001,0.18297099671172679,0.18297350846359922,10.79921241076991,10.79921241076991,201.57152027895322,1.4390037984,1.3590777995478145,25.98412372546029,25.984123725460293,450.0,4.8,4.533395565100622,86.67370719999998,86.67370719999998,1501.0384283916842,False
