Ion,A,Q_low,m_ion_in_u,Z,LEIR_gamma_inj,LEIR_gamma_extr,PS_gamma_inj,PS_gamma_extr,SPS_gamma_inj,SPS_gamma_extr,LEIR_Ekin_per_u_inj,LEIR_Ekin_per_u_extr,PS_Ekin_per_u_inj,PS_Ekin_per_u_extr,SPS_Ekin_per_u_inj,SPS_Ekin_per_u_extr,p_LEIR_extr_proton_equiv,p_PS_inj_proton_equiv,p_PS_extr_proton_equiv,p_SPS_inj_proton_equiv,p_SPS_extr_proton_equiv,LEIR_Brho,PS_Brho_inj,PS_Brho_extr,SPS_Brho_inj,SPS_Brho_extr,PS_B_field_is_too_low
54Pb208,208.0,54.0,207.9766525,82.0,1.004509724466435,1.1460852370996533,1.1460852370996533,7.312048836309881,7.312048836309881,190.4748578542863,0.004200000000000001,0.13605221347449203,0.13605221347449203,5.878542094936228,5.878976290172649,176.4749015409069,2.0086094686000004,2.0086094686000013,25.984123725460293,17.112759984797762,450.0,6.7,6.700000000000004,86.67370719999998,57.082023006722075,1501.0384283916842,False
52Pb208,208.0,52.0,207.9766525,82.0,1.0045097482589134,1.136099216843802,1.136099216843802,7.0464293625544805,7.0464293625544805,190.4748578542863,0.004200000000000001,0.12675135682223,0.12675135682223,5.631135456959492,5.631581089515575,176.4749015409069,2.0086094686000004,2.0086094686000004,25.98412372546029,16.479040999371772,450.0,6.7,6.700000000000001,86.67370719999998,54.968164006886965,1501.0384283916842,False
29Pb208,208.0,29.0,207.9766525,82.0,1.0045100218904617,1.044237213806069,1.044237213806069,4.016673719981375,4.016673719981375,190.4748578542863,0.004200000000000001,0.04119631844325008,0.04119631844325008,2.809305571380421,2.8096983617961913,176.4749015409069,2.0086094686000004,2.0086094685999982,25.984123725460293,9.190792026210975,450.0,6.7,6.699999999999994,86.67370719999998,30.657182263774537,1501.0384283916842,False
39Xe129,129.0,39.0,128.9047808611,54.0,1.0045125039023892,1.1940160278978385,1.1940160278978385,8.499205566536645,8.499205566536645,202.3775998841415,0.004200000000000001,0.1805798587208899,0.1805798587208899,6.979863964832699,6.980309556247854,187.4435861790509,2.0086094686000004,2.0086094686000004,25.98412372546029,18.767509612494596,450.0,6.7,6.700000000000001,86.67370719999998,62.6016736301438,1501.0384283916842,False
37In115,115.0,37.0,114.903878776,49.0,1.0045129156237638,1.217450628092958,1.217450628092958,9.038458122193743,9.038458122193743,206.0150325867805,0.004200000000000001,0.20237308075987137,0.20237308075987126,7.481089151198639,7.481517774884907,190.81067377608193,2.0086094686,2.0086094685999996,25.98412372546029,19.621789005967813,450.0,6.7,6.699999999999998,86.67370719999998,65.451242959447,1501.0384283916842,False
29Kr84,84.0,29.0,83.9114977282,36.0,1.0045138473629398,1.2471658502760614,1.2471658502760614,9.692773511608351,9.692773511608351,207.26142851408815,0.004200000000000001,0.22998043302983331,0.22998043302983312,8.08836582479767,8.088735991309086,191.92887496870287,2.0086094686000004,2.0086094685999987,25.984123725460293,20.932613166827604,450.0,6.7,6.699999999999996,86.67370719999998,69.82368171125773,1501.0384283916842,False
19Kr86,86.0,19.0,85.9106106269,36.0,1.0045140667081252,1.1079158902037003,1.1079158902037003,6.250466310096767,6.250466310096767,202.43863384576755,0.004200000000000001,0.1004076297852895,0.1004076297852895,4.885164515338953,4.88569487239843,187.443865431654,2.0086094686000004,2.0086094686000004,25.984123725460293,13.715331918380805,450.0,6.7,6.700000000000002,86.67370719999998,45.749422816970274,1501.0384283916842,False
20Kr86,86.0,20.0,85.9106106269,36.0,1.0045140378807276,1.118950197735577,1.118950197735577,6.571182185931475,6.571182185931475,202.43863384576755,0.004200000000000001,0.11067493089111807,0.11067493089111807,5.183599650506323,5.184129300412792,187.443865431654,2.0086094686,2.0086094686000013,25.98412372546029,14.437099295312219,450.0,6.7,6.700000000000004,86.67370719999998,48.15697963726698,1501.0384283916842,False
21Kr86,86.0,21.0,85.9106106269,36.0,1.0045140090536981,1.1304340202762708,1.1304340202762708,6.892266389720933,6.892266389720933,202.43863384576755,0.004200000000000001,0.12136060841781332,0.12136060841781332,5.482381302836045,5.482906467127604,187.443865431654,2.0086094686000004,2.0086094686,25.984123725460293,15.158857453708052,450.0,6.7,6.699999999999998,86.67370719999998,50.5645057078389,1501.0384283916842,False
22Kr86,86.0,22.0,85.9106106269,36.0,1.004513980227037,1.142353780163194,1.142353780163194,7.213669178326635,7.213669178326635,202.43863384576755,0.004200000000000001,0.13245203714103698,0.13245203714103698,5.781463195753121,5.781980085264294,187.443865431654,2.0086094686000004,2.008609468600001,25.98412372546029,15.880606393744925,450.0,6.7,6.700000000000002,86.67370719999998,52.97200102927514,1501.0384283916842,False
