Projectile,Z_p,A_p,LEIR_Kinj,PS_Kinj,SPS_Kinj,LEIR_beta,PS_beta,SPS_beta,LEIR_gamma,PS_gamma,SPS_gamma,LEIR_q,PS_q,SPS_q,I_p,n_0
In37,49.0,115.0,4.2,108.80216074227137,7481.517774884906,0.09468419936810406,0.44540615973017367,0.9938607335993155,1.0045129156237638,1.116908326455488,9.038458122193743,37,37,49.0,2.555,3.0
In38,49.0,115.0,4.2,114.43512633346995,7706.087807084309,0.09468397485501076,0.4549766532840274,0.9941767665105482,1.0045128940768422,1.1229603818602383,9.279745632783447,38,38,49.0,2.62877,2.0
In39,49.0,115.0,4.2,120.18685562185615,7930.72436601841,0.09468375034351621,0.46439196229425594,0.9944690718208707,1.0045128725301264,1.129139990290032,9.521104622501715,39,39,49.0,6.126,2.0
In40,49.0,115.0,4.2,126.05540783792141,8155.422356579966,0.09468352583361635,0.4736523181025584,0.994739960770514,1.0045128509836163,1.1354450645836933,9.762529616950511,40,40,49.0,6.331,2.0
In41,49.0,115.0,4.2,132.03884615724024,8380.177174217266,0.09468330132531468,0.4827581156109192,0.9949914705677234,1.004512829437312,1.1418735218588318,10.004015668805346,41,41,49.0,6.554,2.0
In42,49.0,115.0,4.2,138.13523969153655,8604.9846474239,0.09468307681860828,0.4917099044700978,0.995225402381593,1.0045128078912133,1.1484232856510979,10.24555829602386,42,42,49.0,6.7700000000000005,2.0
Xe34,54.0,129.0,4.2,74.31040934388815,5981.264914375697,0.0946809098682244,0.3773712281051173,0.9908913323763022,1.0045125999298476,1.0798412257124237,7.4258948373813185,34,34,54.0,2.209,3.0
Xe35,54.0,129.0,4.2,78.57256987850916,6180.896473785721,0.09468070974167483,0.3868283966925282,0.9913977191134542,1.004512580724029,1.0844202533979008,7.640366429152496,35,35,54.0,2.3000000000000003,3.0
Xe36,54.0,129.0,4.2,82.9395384469096,6380.624128518085,0.0946805096163955,0.39616498935186056,0.99186318180218,1.0045125615183739,1.089111849892194,7.854941259694161,36,36,54.0,2.556,3.0
Xe37,54.0,129.0,4.2,87.40996522254413,6580.440075018251,0.09468030949238464,0.40538021310602035,0.9922919980545962,1.0045125423128822,1.0939145634843552,8.069610945358118,37,37,54.0,2.637,3.0
Xe38,54.0,129.0,4.2,91.982492328484,6780.337315357962,0.09468010936964284,0.41447341459103854,0.9926879028287415,1.004512523107554,1.0988269338387364,8.284367968010374,38,38,54.0,2.726,3.0
Xe39,54.0,129.0,4.2,96.65575537105259,6980.309556247854,0.09467990924816895,0.4234440757910124,0.9930541687053013,1.0045125039023892,1.1038474936429188,8.499205566536645,39,39,54.0,2.811,3.0
Xe40,54.0,129.0,4.2,101.42838492485816,7180.351122818362,0.09467970912796649,0.43229180959615265,0.993393672689746,1.004512484697388,1.1089747702033825,8.714117644213992,40,40,54.0,2.975,3.0
Xe41,54.0,129.0,4.2,106.29900796739919,7380.456884717445,0.09467950900903194,0.44101635521195154,0.9937089520556511,1.0045124654925504,1.114207286986956,8.929098689314849,41,41,54.0,3.068,3.0
Xe42,54.0,129.0,4.2,111.2662492617404,7580.622192526473,0.09467930889136592,0.44961757344651293,0.9940022512303047,1.004512446287876,1.1195435651064336,9.14414370679626,42,42,54.0,3.243,3.0
Xe43,54.0,129.0,4.2,116.32873268604568,7780.842822856741,0.0946791087749684,0.45809544190192314,0.9942755613230686,1.0045124270833652,1.1249821247490603,9.359248159315031,43,43,54.0,3.3338,2.0
Xe44,54.0,129.0,4.2,121.48508250903994,7981.114930778654,0.09467890865984002,0.466450050094325,0.9945306535832297,1.0045124078790177,1.1305214865468838,9.574407916120618,44,44,54.0,7.66,2.0
Pb48,82.0,208.0,4.2,57.433869142515775,5137.381740693453,0.0946516864194865,0.3358596175773736,0.988152918099877,1.0045097958446236,1.0616702439046608,6.5158250071921,48,48,82.0,2.6710000000000003,4.0
Pb49,82.0,208.0,4.2,59.7787174259692,5260.850223879168,0.09465156241728026,0.34204466627128666,0.988623343244434,1.0045097839481019,1.0641878810204186,6.6483887491000395,49,49,82.0,2.735,4.0
Pb50,82.0,208.0,4.2,62.166197567420085,5384.375090856815,0.09465143841556314,0.34818554477734265,0.9890664410142305,1.004509772051643,1.0667512810348736,6.781013028290437,50,50,82.0,2.965,4.0
Pb51,82.0,208.0,4.2,64.59600264908718,5507.9530584737,0.09465131441433397,0.35428189165324564,0.9894842769162006,1.0045097601552468,1.0693601140321602,6.9136943197584095,51,51,82.0,3.036,4.0
Pb52,82.0,208.0,4.2,67.06782333502096,5631.5810895155755,0.09465119041358983,0.3603333686716745,0.9898787259156254,1.0045097482589134,1.072014047503387,7.0464293625544805,52,52,82.0,3.211,4.0
Pb53,82.0,208.0,4.2,69.58134803081381,5755.256370215185,0.09465106641333364,0.3663396605577874,0.9902514930415338,1.0045097363626427,1.0747127465181583,7.1792151356363005,53,53,82.0,3.2821,3.0
Pb54,82.0,208.0,4.2,72.1362630414219,5878.976290172649,0.09465094241356659,0.3723004747075186,0.9906041314513241,1.004509724466435,1.077455873894068,7.312048836309881,54,54,82.0,5.414,3.0
Pb55,82.0,208.0,4.2,74.73225272697846,6002.7384243928,0.09465081841428456,0.3782155408877558,0.9909380583046907,1.0045097125702898,1.0802430903640308,7.444927860943706,55,55,82.0,5.555,3.0
Pb56,82.0,208.0,4.2,77.36899965646583,6126.540517184713,0.09465069441549226,0.38408461091945933,0.9912545687438641,1.0045097006742074,1.0830740547413142,7.577849787682243,56,56,82.0,5.703,3.0
Pb57,82.0,208.0,4.2,80.04618475914398,6250.380467703052,0.09465057041718675,0.38990745834481916,0.9915548482328367,1.004509688778188,1.0859484240821577,7.710812360922183,57,57,82.0,5.862,3.0
Pb58,82.0,208.0,4.2,82.76348747361727,6374.2563169400855,0.09465044641936626,0.3956838780794985,0.9918399834711227,1.004509676882231,1.0888658538458542,7.843813477346239,58,58,82.0,6.015000000000001,3.0
